"","tract","rev","human_services","education","public","religion","arts","health","total","oth","perc_poverty","perc_male_occ","female_headed","crowded_housing","public_assistance","under_30k","less_hs","unemployment","ndi"
"253","152703",7923925,0,0,1,0,1,1,3,1,0.1,0,0.1,0,0,0.2,0,0.1,-0.0248
"254","153103",1765437,8,2,4,0,1,0,15,4,0.1,0.1,0,0,0.1,0.2,0,0.1,-0.0335
"255","153104",0,2,0,1,0,0,0,3,1,0.1,0.1,0,0,0.1,0.2,0,0.1,-0.0304
"256","153105",22399,2,0,1,0,1,0,4,1,0.1,0,0.1,0,0.1,0.2,0.1,0.1,-0.0261
"257","153106",2236949,7,3,5,0,0,4,19,5,0.1,0.1,0,0,0.1,0.2,0.1,0,-0.0352
"258","153107",0,1,0,1,0,3,0,5,1,0.2,0.1,0,0,0.1,0.3,0,0.1,-0.0287
"259","154100",421317,2,0,1,1,1,0,5,1,0.2,0.1,0.2,0,0.3,0.3,0.1,0.2,0.02
"260","154200",0,0,0,0,0,0,1,2,1,0.2,0.1,0.1,0,0.1,0.4,0.1,0.1,-0.0081
"261","154300",0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0.3,0.6,0.2,0.3,0.0536
"262","154400",92649,1,0,0,0,1,0,2,0,0.2,0,0.2,0,0.3,0.3,0.2,0.2,0.0258
"263","154501",20814265,3,3,2,0,1,1,12,4,0.2,0,0.1,0,0.2,0.4,0.1,0.1,0.0067
"264","154502",0,1,1,0,0,0,0,2,0,0.1,0,0.1,0,0.2,0.3,0.2,0.1,1e-04
"265","154601",18236029,3,0,0,0,0,0,4,1,0.2,0,0.1,0,0.2,0.3,0.1,0.1,0.0059
"266","154603",3842,0,0,0,0,2,1,3,0,0.1,0,0.1,0,0.1,0.3,0.1,0.1,-0.0126
"267","154604",13548,1,0,0,1,0,0,3,1,0.1,0,0.1,0,0.1,0.3,0.1,0.1,-0.0019
"268","154700",5734291,4,0,1,0,0,0,5,1,0.3,0,0.2,0,0.4,0.5,0.3,0.2,0.0662
"269","155101",169806,6,4,1,2,0,3,18,3,0,0.1,0,0,0,0.1,0,0,-0.0456
"270","155102",134861,0,3,1,0,1,0,5,1,0.1,0.1,0.1,0,0,0.2,0.1,0.1,-0.0324
"271","156101",75493392,15,6,11,63,1,11,115,19,0,0.1,0,0,0,0.1,0,0,-0.0472
"272","156102",45552723,4,4,2,1,4,6,22,3,0,0.1,0,0,0,0.1,0.1,0,-0.0454
"273","160100",1363145,3,0,1,0,0,0,4,1,0,0.2,0,0,0,0.1,0,0,-0.059
"274","160200",0,0,1,0,0,1,0,2,0,0.1,0.2,0.1,0,0.1,0.2,0.1,0.1,-0.0342
"275","160300",4562804,0,2,1,0,0,1,4,1,0.1,0.1,0.1,0,0.1,0.2,0,0.1,-0.0308
"276","160400",1658157,0,0,1,0,4,1,12,7,0.1,0.1,0.1,0,0.1,0.3,0,0.1,-0.0246
"277","160500",65817,0,1,1,0,0,0,3,2,0.2,0.2,0,0,0.1,0.4,0.1,0,-0.0329
"278","160601",0,4,1,0,1,1,0,7,0,0.1,0.1,0,0,0.1,0.3,0,0.1,-0.0191
"279","160602",218104,1,0,0,0,0,0,1,0,0.2,0.1,0.1,0,0.3,0.5,0.1,0,0.0105
"280","160700",3302173,1,0,0,0,0,0,1,0,0.2,0.1,0,0,0.1,0.3,0,0,-0.0194
"281","160800",3864374,0,0,0,1,1,0,3,1,0.1,0.2,0.1,0,0.1,0.2,0.1,0.1,-0.0348
"282","160900",1064485,1,3,0,1,0,0,7,2,0.1,0.1,0,0,0.1,0.3,0,0,-0.0313
"283","161000",0,1,1,1,1,0,0,4,1,0.1,0.1,0,0,0.1,0.1,0,0.1,-0.0341
"284","161100",192878,2,2,1,0,0,0,5,1,0.1,0.1,0.1,0,0.1,0.2,0.1,0,-0.0373
"285","161200",0,0,1,0,1,2,0,5,1,0.1,0.1,0.1,0,0.1,0.3,0.1,0,-0.0274
"286","161300",2129074,9,1,6,0,7,0,25,8,0.2,0.1,0,0,0.2,0.3,0.1,0.1,-0.0161
"287","161400",782545,2,0,0,0,1,0,3,0,0.1,0.1,0,0,0.2,0.3,0.1,0,-0.0225
"288","161500",3843,0,1,0,0,0,1,3,1,0.2,0.2,0.1,0,0.2,0.3,0.1,0.1,-0.0184
"289","161600",0,1,0,0,0,0,0,2,1,0.3,0,0,0,0.2,0.4,0.1,0.1,0.0045
"290","161700",0,0,0,0,0,0,0,0,0,0.3,0,0.2,0.1,0.4,0.5,0.1,0.1,0.0427
"291","161800",63157,1,0,0,0,0,0,1,0,0.4,0,0.1,0,0.5,0.6,0.4,0.1,0.0667
"292","170101",261992,4,1,0,0,0,1,6,0,0,0.1,0,0,0,0.2,0.1,0,-0.0417
"293","170102",61652,1,1,1,1,0,0,5,2,0.1,0.1,0.1,0,0,0.1,0,0.1,-0.0377
"294","170201",8894172,4,3,1,0,1,1,10,1,0,0.1,0,0,0,0.2,0,0.1,-0.0443
"295","170202",230115,2,1,0,0,0,0,10,7,0,0.2,0,0,0,0.2,0.1,0,-0.0476
"296","171102",8643518,2,2,1,0,0,1,6,1,0.1,0,0.2,0,0.3,0.3,0.1,0.2,0.0205
"297","171103",575760,2,2,2,2,0,0,8,2,0.2,0.1,0.1,0,0.3,0.4,0.1,0.1,0.0169
"298","171104",0,0,1,1,0,2,0,4,1,0.3,0,0.2,0,0.4,0.4,0.1,0.1,0.0429
"299","171203",0,1,0,0,0,0,0,1,0,0.2,0.1,0.1,0,0.2,0.3,0.1,0.1,0.0074
"300","171204",0,0,0,1,0,0,0,3,3,0.2,0,0.1,0.1,0.2,0.3,0.1,0.1,0.0111
"301","171205",0,1,1,0,1,0,0,3,0,0.2,0,0.1,0,0.1,0.3,0.1,0.1,-0.0065
"302","171206",0,3,2,0,0,0,0,5,0,0.1,0.1,0.1,0,0.1,0.4,0.1,0.1,-0.0072
"303","172101",90476,1,0,1,0,0,0,5,4,0.1,0.1,0.1,0,0.1,0.2,0.1,0,-0.0264
"304","172102",59085,0,1,0,2,2,0,5,0,0.1,0.1,0.1,0,0.1,0.3,0,0.1,-0.0245
"305","172103",1649745,1,1,0,2,0,0,6,2,0.2,0.2,0.1,0,0.1,0.4,0.1,0.1,-0.0219
"306","172201",582954,3,4,1,1,2,0,13,3,0.1,0,0,0,0.1,0.3,0.1,0.1,-0.0212
"307","172202",314783093,4,2,2,0,0,0,13,7,0.1,0.1,0,0,0,0.3,0,0.1,-0.0186
"308","173103",0,0,0,0,1,0,0,1,0,0,0,0,0,0.1,0.3,0.1,0.1,-0.0253
"309","173104",189375,4,0,1,1,2,0,8,1,0.1,0,0.1,0,0.1,0.2,0.1,0,-0.03
"310","173105",0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,-0.0379
"311","173106",167858,1,0,1,2,1,0,6,2,0.1,0.3,0,0,0.1,0.3,0.1,0.1,-0.0415
"312","173107",341932479,5,2,4,2,1,4,18,4,0,0,0.1,0,0.1,0.2,0.1,0.1,-0.0241
"313","174103",8141653,5,1,4,0,0,1,12,5,0.1,0.1,0,0,0.1,0.2,0.1,0,-0.031
"314","174104",32683,1,0,0,0,0,0,2,1,0.1,0,0,0,0.1,0.1,0.1,0.1,-0.0312
"315","174105",0,1,1,0,0,0,0,2,0,0,0.1,0,0,0.1,0.1,0.1,0,-0.0467
"316","174106",206584,1,0,0,1,0,0,5,3,0.1,0.1,0,0,0.1,0.2,0,0,-0.0419
"317","174107",33705,1,1,1,0,2,0,5,1,0.1,0,0,0,0.1,0.2,0.1,0,-0.0306
"318","174203",301181,2,1,1,0,1,0,5,1,0,0.1,0,0,0,0.1,0.1,0,-0.0428
"319","174204",198261,3,2,0,0,0,0,5,0,0,0.1,0,0,0.1,0.1,0.1,0.1,-0.0364
"320","174205",78536340,4,1,0,0,1,0,13,7,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,-0.0268
"321","174206",840210,8,1,2,0,1,1,14,3,0.1,0.1,0.1,0,0.1,0.3,0.1,0.1,-0.0135
"322","174207",0,1,0,0,0,0,0,1,0,0.1,0,0.1,0,0.1,0.3,0.1,0.1,-0.0077
"323","175103",404093,3,1,2,0,1,0,8,3,0.1,0,0,0,0.1,0.2,0.1,0,-0.0264
"324","175104",16125754,11,4,3,3,0,1,24,5,0.1,0.1,0,0,0.1,0.2,0,0,-0.0354
"325","175105",538334,2,1,3,2,1,0,10,4,0,0,0,0,0.1,0.1,0.1,0.1,-0.0355
"326","175106",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,-0.0447
"327","175201",682437,2,0,1,1,0,0,6,3,0.1,0.1,0,0,0,0.2,0.1,0,-0.038
"328","175202",76761,2,3,0,0,1,0,8,2,0.1,0.1,0,0,0,0.2,0.1,0,-0.0358
"329","176100",648453,1,1,1,0,2,0,5,1,0,0.1,0,0,0,0.2,0.1,0,-0.0366
"330","176200",138,4,0,0,0,1,0,6,1,0.1,0.1,0.1,0,0.1,0.2,0.1,0,-0.035
"331","177101",21071083,6,1,3,0,0,0,15,8,0.2,0.1,0.1,0,0.2,0.3,0.1,0.1,-0.0033
"332","177103",0,0,0,2,0,0,0,2,2,0.2,0,0.1,0,0.2,0.4,0.2,0.1,0.013
"333","177104",185649,2,0,2,0,2,1,10,5,0.1,0,0.1,0,0.2,0.3,0.1,0.1,-0.0067
"334","177201",892897,0,0,1,0,1,0,2,1,0.1,0,0.1,0,0.1,0.3,0.1,0.1,-0.0106
"335","177202",29523,0,0,0,0,0,0,1,1,0.1,0,0.1,0,0.1,0.3,0.1,0.1,-0.0124
"336","177302",7195427,3,1,1,1,0,0,6,1,0.1,0.1,0.1,0,0.1,0.3,0.1,0,-0.02
"337","177303",1584042,16,0,1,0,1,1,21,3,0.1,0,0.1,0,0.1,0.3,0.1,0.1,-0.0055
"338","177304",14615519,2,7,2,1,2,0,14,2,0.2,0.1,0.1,0,0.2,0.4,0.1,0.1,4e-04
"339","177403",0,2,1,0,0,0,0,3,0,0.1,0,0.1,0,0.1,0.2,0.1,0.1,-0.0274
"340","177404",0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.2,0.2,0,-0.0184
"341","177405",0,1,0,0,1,0,0,2,0,0.1,0,0.1,0,0.1,0.2,0.1,0,-0.0238
"342","177406",0,2,0,2,0,0,0,4,2,0.1,0,0.1,0,0.1,0.3,0.1,0.1,-0.0073
"343","177501",79885,3,0,0,0,1,0,6,2,0.1,0.1,0.1,0,0.1,0.3,0.1,0.1,-0.0131
